,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,normalized_page_rank,probability,mass_equivalent,normalized_velocity,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk,Phase Factor,,Transmission frequency,,,m,x,,y,tunneling
56,926,Andreopeeneilan,false (human account),human,7/18/2021,https://twitter.com/Andreopeeneilan/status/1416876962707124224,82,0,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,8.01E-15,,1.54E-15,4.00E-19,2.81E-19,0,0.000179254,0.72,305.6688427,221.012891,,,7.03E-01,80,5.62E+01,56.92,28.46
57,723,globalism_no,spammer,bot,8/27/2021,https://twitter.com/globalism_no/status/1431396057339080708,80,-1.88E-05,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,7.82E-15,,1.50E-15,3.90E-19,2.75E-19,0,0.000179254,0.73,305.6688427,223.681716,,,7.05E-01,80,5.64E+01,57.14,28.57012821
58,909,val_ic,false (human account),human,7/18/2021,https://twitter.com/val_ic/status/1416624031562977281,79,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,7.72E-15,,1.48E-15,3.85E-19,2.71E-19,0.000728332,0.001195029,0.74,305.6688427,225.125771,,,7.04E-01,80,5.63E+01,57.05,28.52584416
59,814,mynameisnotkim1,private_account,bot,7/19/2021,https://twitter.com/mynameisnotkim1/status/1416932498295119882,78,-1.68E-05,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,7.62E-15,,1.46E-15,3.80E-19,2.68E-19,0.001456664,0.00174362,0.74,305.6688427,226.598159,,,7.05E-01,80,5.64E+01,57.16,28.58052632
60,738,Voyeur80370397,false (human account),human,10/17/2021,https://twitter.com/Voyeur80370397/status/1449663889180921857,72,0,2.61E-96,3.19E-06,2,3.19E-06,3.64E-06,0.002292211,-0.203839815,0.005388401,7.03E-15,,1.35E-15,3.51E-19,2.47E-19,0.002184996,0.002292211,0.77,305.6688427,235.91535,,,7.04E-01,80,5.63E+01,57.07,28.53314815
61,959,Sayyestolifeno1,false (human account),human,8/5/2021,https://twitter.com/Sayyestolifeno1/status/1423343791214366722,69,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,6.74E-15,,1.30E-15,3.36E-19,2.37E-19,0.000728332,0.001195029,0.79,305.6688427,240.937231,,,7.05E-01,80,5.64E+01,57.22,28.60928571
62,0,Left_of_You,spammer,bot,5/17/2021,https://twitter.com/Left_of_You/status/1394373947454590987,66,-0.004862989,1.68E-40,0.000133775,2,0.000133775,0.000172675,0.003053336,-0.132855265,0.007177612,6.45E-15,,1.24E-15,3.22E-19,2.26E-19,0.009252219,0.003053336,0.81,305.6688427,246.294098,,,7.02E-01,80,5.61E+01,56.96,28.47953416
63,734,RockinTrump,self_declared,bot,8/21/2021,https://twitter.com/RockinTrump/status/1428912360027304002,64,-1.88E-05,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,6.25E-15,,1.20E-15,3.12E-19,2.20E-19,0.001456664,0.00174362,0.82,305.6688427,250.203773,,,7.05E-01,80,5.64E+01,57.23,28.61512821
64,961,zoogirl121,false (human account),human,7/26/2021,https://twitter.com/zoogirl121/status/1419721964512432142,57,0,9.19E-66,1.17E-05,2,1.17E-05,1.58E-05,0.001317448,-0.29474867,0.003096984,5.57E-15,,1.07E-15,2.78E-19,1.96E-19,0.004767265,0.001317448,0.87,305.6688427,265.036852,,,7.05E-01,80,5.64E+01,57.27,28.63643885
65,775,maatuska_t,false (human account),human,7/20/2021,https://twitter.com/maatuska_t/status/1417553542953504769,55,0,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,5.37E-15,,1.03E-15,2.68E-19,1.89E-19,0.001456664,0.00174362,0.88,305.6688427,269.927244,,,7.05E-01,80,5.64E+01,57.30,28.64895522
66,830,YatesSaunders,false (human account),human,7/22/2021,https://twitter.com/YatesSaunders/status/1418079965564727303,49,-0.004862989,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,4.79E-15,,9.20E-16,2.39E-19,1.68E-19,0,0.000179254,0.94,305.6688427,285.802554,,,7.03E-01,80,5.62E+01,57.17,28.58715481
67,903,bilks,false (human account),human,5/26/2021,https://twitter.com/bilks/status/1397464616620462080,48,0,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,4.69E-15,,9.01E-16,2.34E-19,1.65E-19,0,0.000179254,0.94,305.6688427,288.833419,,,7.05E-01,80,5.64E+01,57.35,28.67512821
68,824,QWarrior18,false (human account),human,7/19/2021,https://twitter.com/QWarrior18/status/1417058833537585156,46,0,2.60E-77,0,2,0,0,0.000724808,-0.350019853,0.001703838,4.49E-15,,8.64E-16,2.24E-19,1.58E-19,0.002745252,0.000724808,0.97,305.6688427,295.196152,,,7.05E-01,80,5.64E+01,57.40,28.69928571
69,823,MSkuggsida,false (human account),human,7/19/2021,https://twitter.com/MSkuggsida/status/1417084248457162754,45,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,4.40E-15,,8.45E-16,2.19E-19,1.54E-19,0.000728332,0.001195029,0.98,305.6688427,298.199921,,,7.03E-01,80,5.63E+01,57.24,28.61785388
